VT("/net2") X,VT("/net2") Y,VT("/net7") X,VT("/net7") Y,VT("/net14") X,VT("/net14") Y,VT("/net039") X,VT("/net039") Y,VT("/net069") X,VT("/net069") Y
9.997215054797846e-07,0.7988667276447803,9.997215054797846e-07,2.14450213046484e-05,9.997215054797846e-07,5.01859823468713e-06,9.997215054797846e-07,1.212278486473608e-05,9.997215054797846e-07,1.111125715163459e-05
9.99723313638988e-07,0.7988804490632194,9.99723313638988e-07,1.641961642459386e-05,9.99723313638988e-07,2.154563858018503e-06,9.99723313638988e-07,4.289405459942927e-06,9.99723313638988e-07,3.260852079970132e-06
9.997258608627724e-07,0.7988991427844405,9.997258608627724e-07,2.971887229598745e-06,9.997258608627724e-07,-4.748889373259081e-06,9.997258608627724e-07,-1.032132460072727e-05,9.997258608627724e-07,-1.102719646985538e-05
9.997283519505524e-07,0.7988966697573259,9.997283519505524e-07,-1.777358735250389e-05,9.997283519505524e-07,-1.622899652581295e-05,9.997283519505524e-07,-3.345687388610572e-05,9.997283519505524e-07,-3.405318333225384e-05
9.997318356972152e-07,0.798893101007077,9.997318356972152e-07,-4.008119673967666e-05,9.997318356972152e-07,-2.844316572957761e-05,9.997318356972152e-07,-5.848825101026103e-05,9.997318356972152e-07,-5.905613182937588e-05
9.997388031905407e-07,0.7989344508184412,9.997388031905407e-07,-6.692606794701404e-05,9.997388031905407e-07,-4.239023264610786e-05,9.997388031905407e-07,-8.412639498969944e-05,9.997388031905407e-07,-8.430047959481796e-05
9.997460728602843e-07,0.799028421185681,9.997460728602843e-07,-6.634846838713761e-05,9.997460728602843e-07,-3.884104060664325e-05,9.997460728602843e-07,-7.547648784041526e-05,9.997460728602843e-07,-7.517443900955931e-05
9.997480691570504e-07,0.7990552734661009,9.997480691570504e-07,-5.94847989525159e-05,9.997480691570504e-07,-3.293342852048116e-05,9.997480691570504e-07,-6.5486956188391e-05,9.997480691570504e-07,-6.507423319447371e-05
9.997520617505826e-07,0.7991282428938647,9.997520617505826e-07,-1.905549176110276e-05,9.997520617505826e-07,-3.795757912169941e-06,9.997520617505826e-07,-1.496014152818805e-05,9.997520617505826e-07,-1.424033078626921e-05
9.997571534208958e-07,0.7992092066026354,9.997571534208958e-07,2.686717597260612e-05,9.997571534208958e-07,2.299513828953602e-05,9.997571534208958e-07,4.22827644652673e-05,9.997571534208958e-07,4.329185097950025e-05
9.997586558727192e-07,0.7992230992009151,9.997586558727192e-07,3.109495613723755e-05,9.997586558727192e-07,2.401832444471888e-05,9.997586558727192e-07,4.8217894276244e-05,9.997586558727192e-07,4.926935760746146e-05
9.99761660776366e-07,0.7992431380433386,9.99761660776366e-07,3.906181445493473e-05,9.99761660776366e-07,2.724304493603887e-05,9.99761660776366e-07,5.567915722688539e-05,9.99761660776366e-07,5.645199766241327e-05
9.997625064348448e-07,0.7992485950749048,9.997625064348448e-07,4.264019464361976e-05,9.997625064348448e-07,2.905049188192352e-05,9.997625064348448e-07,5.854189567364628e-05,9.997625064348448e-07,5.917073896696993e-05
9.997641977518023e-07,0.7992599107949555,9.997641977518023e-07,4.803643232183203e-05,9.997641977518023e-07,3.134867829144601e-05,9.997641977518023e-07,6.305622404747315e-05,9.997641977518023e-07,6.348874378848603e-05
9.99766733319664e-07,0.7992707805685327,9.99766733319664e-07,4.670549331559673e-05,9.99766733319664e-07,2.993217706299693e-05,9.99766733319664e-07,5.961830452628705e-05,9.99766733319664e-07,5.978762589325849e-05
9.997691643341334e-07,0.7992817225053436,9.997691643341334e-07,4.923267271053766e-05,9.997691643341334e-07,3.219542691054237e-05,9.997691643341334e-07,5.974575389780459e-05,9.997691643341334e-07,5.962286286252251e-05
9.997740263630724e-07,0.7993182847427379,9.997740263630724e-07,7.416034323693651e-05,9.997740263630724e-07,4.74989146950523e-05,9.997740263630724e-07,8.450957624425858e-05,9.997740263630724e-07,8.426174767480443e-05
9.997773709724226e-07,0.7993434775994829,9.997773709724226e-07,8.938739486807185e-05,9.997773709724226e-07,5.307946247240295e-05,9.997773709724226e-07,0.0001010427404369865,9.997773709724226e-07,0.0001009166274561272
