VT("/net14") X,VT("/net14") Y,VT("/I0/net18") X,VT("/I0/net18") Y,VT("/net16") X,VT("/net16") Y,VT("/net17") X,VT("/net17") Y
9.998693923884996e-07,-4.466700339406689e-05,9.998693923884996e-07,-3.40621797673416e-05,9.998693923884996e-07,-1.922601877849623e-05,9.998693923884996e-07,-0.0002752343284276575
9.998709867356836e-07,-5.001861790671912e-05,9.998709867356836e-07,-3.77484340854287e-05,9.998709867356836e-07,-2.170310542677718e-05,9.998709867356836e-07,-0.0003019378829357796
9.998741754300517e-07,-5.964785768303146e-05,9.998741754300517e-07,-4.395126818582663e-05,9.998741754300517e-07,-2.476183921132398e-05,9.998741754300517e-07,-0.0003157642883591225
9.998789404125415e-07,-5.907452816406685e-05,9.998789404125415e-07,-3.899993221802516e-05,9.998789404125415e-07,-2.044282002546379e-05,9.998789404125415e-07,-0.0002617280341422888
9.998847541943565e-07,-1.960445687964295e-05,9.998847541943565e-07,-2.758004233703775e-06,9.998847541943565e-07,6.095498775620646e-08,9.998847541943565e-07,-7.468450505829601e-05
9.998861536057088e-07,-4.523146951207456e-06,9.998861536057088e-07,9.889953613311658e-06,9.998861536057088e-07,6.862851131668449e-06,9.998861536057088e-07,2.001012096895646e-05
9.998889524284135e-07,1.934325780194141e-05,9.998889524284135e-07,2.670360993428343e-05,9.998889524284135e-07,1.484557592231301e-05,9.998889524284135e-07,0.0001903375795063592
9.998936913932781e-07,3.847470771948985e-05,9.998936913932781e-07,3.331681955142551e-05,9.998936913932781e-07,1.664458868041281e-05,9.998936913932781e-07,0.0002478446554778697
9.998968413464329e-07,4.183130362457841e-05,9.998968413464329e-07,3.153638275963274e-05,9.998968413464329e-07,1.568919450552904e-05,9.998968413464329e-07,0.000187063196593448
9.998980336373731e-07,4.012767826294883e-05,9.998980336373731e-07,2.854436000301338e-05,9.998980336373731e-07,1.403842655272468e-05,9.998980336373731e-07,0.0001516622122248032
9.999003552335681e-07,3.746778747772077e-05,9.999003552335681e-07,2.462676218051153e-05,9.999003552335681e-07,1.21972248451542e-05,9.999003552335681e-07,0.0001024030529393742
9.999035452654709e-07,4.285821535719304e-05,9.999035452654709e-07,2.969935522030504e-05,9.999035452654709e-07,1.585047831473671e-05,9.999035452654709e-07,7.198675421555969e-05
9.999062457687591e-07,4.948977799138288e-05,9.999062457687591e-07,3.518764485156884e-05,9.999062457687591e-07,1.856302437456051e-05,9.999062457687591e-07,5.812080411843375e-05
9.999107498018601e-07,5.708798349825823e-05,9.999107498018601e-07,3.952393624863299e-05,9.999107498018601e-07,1.981132474888067e-05,9.999107498018601e-07,4.227919906069299e-05
9.999165805788479e-07,5.198084794336578e-05,9.999165805788479e-07,3.225861341001106e-05,9.999165805788479e-07,1.515506152266575e-05,9.999165805788479e-07,2.058826512630555e-05
9.99923131871262e-07,2.289254971600612e-05,9.99923131871262e-07,6.72468798939369e-06,9.99923131871262e-07,1.090733080000062e-06,9.99923131871262e-07,-8.861019449116725e-07
9.999293170713817e-07,-1.120889453265841e-05,9.999293170713817e-07,-1.77486787507782e-05,9.999293170713817e-07,-1.151857126793972e-05,9.999293170713817e-07,-1.130876466543624e-05
9.999312022647036e-07,-1.130905396124772e-05,9.999312022647036e-07,-1.379242817255439e-05,9.999312022647036e-07,-7.88130131365103e-06,9.999312022647036e-07,-4.925601074655815e-06
9.999345771921894e-07,-6.494316942279734e-06,9.999345771921894e-07,-5.126317361652625e-06,9.999345771921894e-07,-2.976756047171425e-06,9.999345771921894e-07,2.814231433246746e-06
9.999388960715029e-07,-1.972117730348771e-05,9.999388960715029e-07,-1.72471315740912e-05,9.999388960715029e-07,-1.172292073021556e-05,9.999388960715029e-07,-7.106146777744967e-06
9.999426088154978e-07,-3.997925014423851e-05,9.999426088154978e-07,-3.384645614445792e-05,9.999426088154978e-07,-2.018061623394385e-05,9.999426088154978e-07,-1.753906568540057e-05
9.999477606043758e-07,-4.9720108440149e-05,9.999477606043758e-07,-3.610323591245341e-05,9.999477606043758e-07,-1.883730195104649e-05,9.999477606043758e-07,-1.76803290385044e-05
9.999530061809457e-07,-6.150482500392147e-05,9.999530061809457e-07,-4.269328795796534e-05,9.999530061809457e-07,-2.255683350138867e-05,9.999530061809457e-07,-2.319040593605437e-05
9.999552103834591e-07,-6.215124537174184e-05,9.999552103834591e-07,-4.167918287218558e-05,9.999552103834591e-07,-2.171972150688764e-05,9.999552103834591e-07,-2.273168228712142e-05
9.99959618788486e-07,-4.783167313363258e-05,9.99959618788486e-07,-2.673097221799356e-05,9.99959618788486e-07,-1.271148278702164e-05,9.99959618788486e-07,-1.383176363476902e-05
9.999643993185006e-07,-1.852538454225316e-05,9.999643993185006e-07,-2.151887468768888e-06,9.999643993185006e-07,6.072060863447925e-07,9.999643993185006e-07,-2.696974867970432e-07
9.999656124245405e-07,-1.259423522023338e-05,9.999656124245405e-07,1.619227313547426e-06,9.999656124245405e-07,2.243452673306659e-06,9.999656124245405e-07,1.26796493323809e-06
9.999680386366203e-07,-2.588226327956887e-06,9.999680386366203e-07,7.036884733235577e-06,9.999680386366203e-07,4.629854148919168e-06,9.999680386366203e-07,3.408884290997935e-06
9.999714949544163e-07,9.084346142333835e-06,9.999714949544163e-07,1.308187843065723e-05,9.999714949544163e-07,7.767582455267259e-06,9.999714949544163e-07,6.303234248919361e-06
9.999761289350873e-07,4.322662371347081e-06,9.999761289350873e-07,3.583054397199566e-06,9.999761289350873e-07,1.839066963754425e-06,9.999761289350873e-07,-4.367457393516503e-07
9.999770046583908e-07,3.467789947849491e-06,9.999770046583908e-07,2.555982138589792e-06,9.999770046583908e-07,1.573942245261541e-06,9.999770046583908e-07,-6.098645377403206e-07
9.99978756104998e-07,7.23312355670619e-07,9.99978756104998e-07,-8.278476397905888e-08,9.99978756104998e-07,5.029671819721096e-07,9.99978756104998e-07,-1.565620586006596e-06
9.999818683830705e-07,-2.000162838948864e-06,9.999818683830705e-07,-2.035384739709774e-06,9.999818683830705e-07,-2.021697784876888e-07,9.999818683830705e-07,-2.059548170391032e-06
9.999860918186571e-07,3.780726587309525e-06,9.999860918186571e-07,4.42609825189055e-06,9.999860918186571e-07,3.688852028678362e-06,9.999860918186571e-07,2.390124765243489e-06
9.999897728062578e-07,1.588451443562632e-05,9.999897728062578e-07,1.489044208107472e-05,9.999897728062578e-07,9.25349752431353e-06,9.999897728062578e-07,8.538189665345643e-06
9.999947913782817e-07,2.661372451049762e-05,9.999947913782817e-07,2.106945555033677e-05,9.999947913782817e-07,1.152566872296426e-05,9.999947913782817e-07,1.106467662389456e-05
9.999960935337113e-07,2.440720499402204e-05,9.999960935337113e-07,1.77254945909593e-05,9.999960935337113e-07,9.267602981004372e-06,9.999960935337113e-07,8.627127333711995e-06
9.999980467668556e-07,1.590802443999881e-05,9.999980467668556e-07,8.190698225149125e-06,9.999980467668556e-07,3.515624280668565e-06,9.999980467668556e-07,2.435216053431672e-06
1e-06,4.242302066432444e-06,1e-06,-2.867370170685892e-06,1e-06,-2.451761018508788e-06,1e-06,-3.89701547730482e-06
1.000003906466289e-06,-3.515629097869193e-06,1.000003906466289e-06,-6.658718802587142e-06,1.000003906466289e-06,-3.398506487101726e-06,1.000003906466289e-06,-4.506660689293967e-06
1.000006678694034e-06,-4.327495404105484e-06,1.000006678694034e-06,-4.94017880200553e-06,1.000006678694034e-06,-1.791903321506284e-06,1.000006678694034e-06,-2.477368741753201e-06
1.000011012272359e-06,-1.882220725437316e-05,1.000011012272359e-06,-1.632576780196197e-05,1.000011012272359e-06,-8.716308411779856e-06,1.000011012272359e-06,-9.793072255561808e-06
1.000016001807287e-06,-3.647051349895529e-05,1.000016001807287e-06,-2.915455193108988e-05,1.000016001807287e-06,-1.52617871436726e-05,1.000016001807287e-06,-1.667819373355388e-05
1.000021297441613e-06,-4.079321509925101e-05,1.000021297441613e-06,-2.872705035626196e-05,1.000021297441613e-06,-1.409828948628586e-05,1.000021297441613e-06,-1.538334022619124e-05
